,Life
0.0119,2670.360743410068
0.00067,498877328.44791156
0.00059,1396554319.0683324
0.0010400000000000001,17343421.104379777
0.00062,933150471.153547
0.00045000000000000004,12937576716.409624
0.0062699999999999995,11018.715342837522
0.00094,36025678.84888765
0.00037,65529260289.540535
0.00082,101224533.08600421
0.00025,1708849659983.4268
0.00057,1850404427.0322676
0.00096,30856906.129869755
0.00012,773359003483389.1
0.0008,122566755.62819907
0.00086,70241712.00534192
0.00021,7300750822319.182
0.00107,14207009.80917479
0.00035,103968498054.46352
0.00071,313692088.73124486
0.00054,2880695338.4090962
0.00032,218994638324.88358
0.00099,24665753.118528195
7.000000000000001e-05,6.903073127264989e+16
0.00092,42256219.251128316
0.00063,819682351.0505195
0.00126,4794594.283592677
0.01468,1745.3722638217052
0.00213,311346.9255624434
0.0013000000000000002,3944672.053241763
0.00192,490805.4073792928
0.00083,92192609.5605022
0.00016,70356344183775.79
0.0013700000000000001,2870334.945849692
0.0018100000000000002,646583.6894107835
0.0007199999999999999,280661561.5828502
0.00163,1090301.9652526889
0.00151,1642792.671415678
0.00066,563017319.7712936
0.00084,84086386.24255283
0.00064,721643689.5649047
0.00055,2478445985.8791747
0.0011,11735205.162558403
0.0011200000000000001,10376955.267339336
0.00038,52515267197.45095
0.00075,203163363.95904812
0.0005600000000000001,2138533740.8281841
0.0009699999999999999,28606013.440618705
0.00041,27961717354.689537
0.00027,900363985659.532
0.0013100000000000002,3762810.576191887
2e-05,2.360147219368965e+21
0.00069,394064302.5047915
0.0012900000000000001,4137893.717766394
0.0031000000000000003,77591.03670974066
0.0179,1182.1833734484069
0.00087,64329777.07248664
0.0031200000000000004,75978.49641858622
0.00267,129402.06480764742
0.00019,16806203209630.047
0.0018700000000000001,554320.2405124841
0.00125,5042526.2500841515
0.00079,135174848.4302119
0.00108,13317999.487543646
0.00013000000000000002,396926950861251.56
0.0004,34313924689.020477
0.0002,10961874251205.557
0.00046,10788349969.665377
0.00026000000000000003,1232750205150.2156
0.0011899999999999999,6924590.4803786585
5e-05,1.1396551342168547e+18
0.00074,225876519.83316445
0.0008900000000000001,54169617.33544394
0.0020800000000000003,344427.3719414156
0.0010500000000000002,16212257.602988526
0.00183,613620.3544450211
0.00139,2634485.2744858973
0.00103,18571610.98089082
0.00118,7319197.0842461
0.00035999999999999997,82273226553.3188
0.00113,9770485.65627705
0.0007700000000000001,165184803.11987022
0.00015,120461960890949.98
0.00138,2749139.86003216
0.00198,427212.2421248143
0.00199,417748.113781726
0.0015500000000000002,1423964.90067099
0.00044,15580423416.00861
0.001,22940875.255573675
0.0162,1436.3262357188512
0.00047,9032548423.51062
0.00116,8196068.912524623
8.999999999999999e-05,8501831800178776.0
0.00039000000000000005,42332342300.71525
0.0003,374620033831.38226
0.0023799999999999997,198760.46066109455
0.00226,243906.32831633123
0.0007800000000000001,149310485.40720966
0.0043300000000000005,28508.165454961272
0.0006,1217944550.9554324
0.00204,374577.0542055396
0.00279,110757.46312820012
0.00172,829360.706722844
0.0014399999999999999,2145712.056223207
0.00123,5588939.246288205
0.00088,58993271.74880675
0.01528,1611.8816343992771
0.00031,285179485604.26196
0.00232,219678.28339204134
0.00152,1584122.7398043657
0.00091,45846879.845478654
0.00061,1064802745.6356032
0.00011,1596890614993054.2
0.00478,21823.591544949923
0.00239,195555.10772218052
0.00073,251561813.0541434
0.00134,3277854.7865390447
0.00111,11030435.095064215
0.024050000000000002,673.2830984589167
0.00024,2400716853531.6206
0.00017,42454808520633.195
0.0021200000000000004,317592.0327973687
0.00029,496713444242.9671
0.006,12257.502781345935
0.00098,26548548.588572096
0.0012,6556190.938168042
0.00034,132289648498.55174
0.0005,5422676601.799895
0.0009000000000000001,49803694.191495046
0.00171,853861.3771038821
0.00085,76800233.87172192
0.0014,2525953.594764757
0.01704,1300.9895347225186
0.00136,2998521.48024293
0.00023,3421989528480.841
0.00211,324015.9478202317
0.00133,3430096.257378023
0.00042,22900509408.849678
0.00188,540741.0310062343
0.00164,1056253.2933884535
0.00033,169553187259.1747
0.00197,436979.1139188318
0.00101,21358934.295830518
0.0008100000000000001,111303046.72956705
0.01465,1752.500529491164
0.00175,761365.1587721147
0.00132,3591526.0566648347
0.00022,4955362244583.285
0.0005300000000000001,3358247819.26606
0.00307,80106.76165559582
0.00128,4343325.781761337
0.0017900000000000001,682032.984353175
0.00161,1162960.7944820274
0.00143,2233358.547703145
0.00017999999999999998,26369454673121.46
0.00326,65967.53656658875
0.00302,84576.6323368145
0.00043,18845798224.26009
0.00121,6211983.843983347
0.01941,1011.17942784745
0.00265,132951.1210896581
0.00114,9207144.176494485
0.0001,3533508215303610.0
0.00564,14275.461882788764
0.00124,5306876.226564869
0.00146,1983480.8668439519
0.00148,1836967.4747067427
0.01503,1665.4773925063528
0.0034,57803.20231499002
0.0039700000000000004,36396.938657063234
0.00418,31445.44490532194
0.0025499999999999997,153016.1560841357
0.00051,4607030918.197672
0.0071600000000000006,8059.749286068274
0.00159,1242268.0312874196
0.0005200000000000001,3927093435.465628
0.0022400000000000002,252833.95161850512
0.00214,305274.38496444206
0.00014000000000000001,214053396335695.0
0.00048,7591863794.897969
0.0007,351257141.065338
0.00058,1605434978.677684
8e-05,2.2687112015127252e+16
0.00028000000000000003,665187774609.2522
0.01245,2433.7769767875507
0.0035800000000000003,49353.091776162364
0.00508,18610.98679593165
0.00166,992336.1804952888
0.00886,4993.3798526326345
0.007370000000000001,7540.962765682143
0.00117,7742216.981309991
0.00141,2423157.2638475085
0.0006500000000000001,636732014.1324215
0.0015600000000000002,1375381.7909012954
0.00206,359056.776752678
0.00193,479328.4325129379
0.00287,100441.73521462225
0.0015,1704370.4220550843
0.00135,3134186.0744847395
0.016440000000000003,1395.4682671450942
0.00177,720205.3928682383
0.00423,30417.19327528154
0.00277,113579.41242512417
0.00319,70710.10139493865
0.00543,15699.347636386825
0.00449,25811.913487401063
0.00542,15772.540983958308
0.00093,38993704.98164203
1e-05,7.612413597387136e+23
0.00207,351634.8237210438
0.00147,1908377.9584841924
0.00109,12495987.6815213
0.01834,1127.8936999483271
0.0029300000000000003,93607.44999731802
0.0020099999999999996,399681.78289709036
0.00215,299368.4008393975
0.0021000000000000003,330625.21404707956
0.0232,720.3983266939468
0.00191,502668.35491571657
4e-05,7.317382940993723e+18
0.0018000000000000002,663983.3646006288
0.00176,740394.1944618657
0.0015300000000000001,1528195.872375668
0.02009,946.6167499951039
0.00327,65328.92789186678
0.00268,127679.25908563448
0.00149,1769032.4047082153
0.00216,293623.22539805237
0.00202,391057.7582383192
0.00182,629805.1221326254
6e-05,2.494195469986964e+17
0.00398,36135.14150792948
0.0035299999999999997,51504.22199145787
0.01572,1523.9301081034473
0.00321,69304.5537005829
0.00173,805807.2311702654
0.01518,1632.988923540608
0.01251,2409.9735955326714
0.00234,212367.9557211687
0.00165,1023622.9491499674
0.01676,1343.780443499343
0.00102,19906519.961798333
0.00283,105414.2266337658
0.00167,962328.5197279541
0.02921,469.04151935559116
0.00076,183041641.22335735
0.00068,442944778.3884899
0.00221,267124.1486341952
0.00095,33322258.220199704
0.03106,418.94550409772097
0.00259,144493.06105701326
0.0032,70002.07644597563
0.0067599999999999995,9214.820360670086
0.004110000000000001,32976.06761736736
0.0022500000000000003,248312.83531317193
0.00127,4561891.308169075
0.0010600000000000002,15169403.571899977
0.019,1053.5422258435176
0.0056500000000000005,14212.67467200374
0.00286,101651.95384256153
0.0035499999999999998,50627.187249196606
0.0028,109384.96042991472
0.00157,1328982.2849062574
0.00174,783156.1614722774
0.002,408575.0161749983
0.0029500000000000004,91481.42688185976
0.0024900000000000005,167235.28238068748
0.00767,6885.194965059097
0.00366,46181.84976899252
0.0019399999999999999,468221.8217276713
0.0015400000000000001,1474857.965634828
0.0016,1201738.1759720345
0.01282,2292.6270803513335
0.011720000000000001,2755.711002486752
0.01017,3709.315132024516
0.00049,6404769043.760644
0.00122,5890127.829657005
0.02182,808.8793502046075
0.00218,282593.47448826634
0.00185,582929.8460803458
0.01026,3640.5997084356154
0.00252,159896.57445654774
0.0020499999999999997,366701.3564784787
0.0024300000000000003,183452.06485147504
0.013000000000000001,2228.5618119491724
0.012130000000000002,2567.206901024621
0.00217,288033.34567339456
0.0030099999999999997,85514.84371762243
0.00142,2325736.888972432
0.0054600000000000004,15482.875138380512
0.00495,19907.70839479513
0.00534,16377.466731968892
0.00246,175072.32391169656
0.0206,902.3680028220666
0.004030000000000001,34867.945252660036
0.00269,125989.78769425617
0.01331,2124.6363053026816
0.0026000000000000003,142470.4013114825
0.0016200000000000001,1125844.1261086303
0.00235,208843.31829812375
0.01562,1543.242935152083
0.00276,115030.11084234739
0.00222,262235.54726239736
0.00184,598003.4598843327
0.0136,2034.1568924975206
0.00229,231338.61776538778
0.00376,42631.1348534285
0.01038,3552.037138145526
0.00491,20334.66599206424
0.0027,124332.81738338506
0.0024700000000000004,172401.96350165017
0.00547,15411.73715362346
0.0156,1547.1518453181711
0.0074,7471.101751942771
0.00334,61106.25277218593
0.00196,447060.98763326486
0.008199999999999999,5924.644589591701
0.00244,180595.587023855
0.0023,227355.26118063714
0.00227,239610.82256643486
0.00223,257473.52868219683
0.01103,3126.1479743740347
0.01786,1187.3228835322918
0.0061200000000000004,11681.653151338869
0.00145,2062508.9525512424
0.01899,1054.6103531398915
0.0022,272143.64420260594
0.01101,3138.0328943679656
0.00168,933535.4367376685
0.008320000000000001,5736.125644273598
3e-05,8.044734671636696e+19
0.00189,527618.5012025944
0.00115,8683406.612397844
0.01271,2333.216913370592
0.00242,186374.26708329064
0.00337,59420.424923450184
0.00248,169790.16285218755
0.004370000000000001,27795.222408533686
0.00396,36661.61744435512
0.00256,150818.16189322027
0.024620000000000003,644.3630390909706
0.010920000000000001,3192.402741427407
0.00588,12878.40154838647
0.00384,40078.60945651797
0.00439,27448.88098516595
0.0033799999999999998,58873.91182963705
0.00316,72899.30172213777
0.011869999999999999,2684.294939567436
0.00412,32750.57181434677
0.0028799999999999997,99252.62204377407
0.0029900000000000005,87438.06690507026
0.00209,337426.6493339502
0.0020299999999999997,382692.7544759243
0.0017800000000000001,700762.9613414364
0.011859999999999999,2688.9650766698546
0.01535,1597.3613979689644
0.00332,62270.15545870004
0.00335,60536.453864556366
0.0027400000000000002,118014.21776222342
0.0044,27278.168507656676
0.00348,53799.20120433669
0.00368,45436.93226409916
0.00186,568376.161878933
0.012400000000000001,2453.8968582485663
0.01288,2270.9534501949443
0.00266,131159.0564459378
0.0019,514933.64360673
0.0024500000000000004,177802.9473916106
0.0182,1144.7328231902563
0.0045000000000000005,25656.444157570862
0.0137,2004.357782473772
0.01726,1268.8577980858527
0.00513,18146.494742960753
0.00275,116508.15529629357
0.00359,48939.081126542165
0.0035,52863.15005591423
0.00233,215978.7080529069
0.013949999999999999,1932.7971460659776
0.0038799999999999998,38887.980504514766
0.01007,3788.078727302269
0.01568,1531.6092282381248
0.01136,2939.8175115778627
0.0069500000000000004,8636.173973052462
0.004889999999999999,20553.424980675074
0.0058,13319.735054138073
0.0017,879356.7209956327
0.01482,1712.703654985578
0.00271,122707.5457436532
0.0025800000000000003,146557.80832855462
0.00272,121113.1882961229
0.01342,2089.583969728455
0.0034100000000000003,57278.74169229503
0.00231,223469.4944433591
0.01739,1250.4560089570678
0.006200000000000001,11320.644507923924
0.00574,13666.241513979581
0.03308,373.3126053347054
0.004240000000000001,30217.676670960274
0.028829999999999998,480.51070362802596
0.01335,2111.783604589215
0.00292,94697.91519818924
0.0032500000000000003,66615.49857943469
0.02571,594.2639331743586
0.01061,3391.4604759609138
0.00386,39476.515591086805
0.02177,812.4040235694579
0.005900000000000001,12771.591510425334
0.02454,648.3019662993888
0.0029100000000000003,95807.23087665252
0.0025099999999999996,162289.99511628918
0.0154,1587.1157083957664
0.013460000000000001,2077.0629829174686
0.00475,22190.882093930817
0.004,35620.024586988904
0.00762,6988.180196275415
0.00401,35366.62457161402
0.009779999999999999,4031.9361128907785
0.00158,1284648.0257649326
0.00264,134779.16593185265
0.0029,96935.82696525891
0.00195,457470.7281454002
0.01058,3411.7526750871225
0.00714,8112.034395545449
0.00329,64079.06957867957
0.004200000000000001,31027.900555210606
0.01529,1609.7946115458296
0.00219,277298.5316125698
0.02277,746.2552234175632
0.00641,10451.02822564993
0.01566,1535.471710420088
0.0034900000000000005,53328.09638575918
0.0033,63467.47950531793
0.00285,102883.77054821221
0.0027300000000000002,119548.98991329668
0.00361,48126.56631331325
0.0024100000000000002,189364.14870107005
0.017660000000000002,1213.5581719845115
0.003,86468.542951346
0.00873,5157.8683630094765
0.01822,1142.3029909944262
0.01269,2340.7183299638755
0.009470000000000001,4320.909235875623
0.0,1.6573879744711253e+82
0.00346,54760.32086333939
0.02604,580.3068464059016
0.01211,2575.9261540463003
0.0016899999999999999,905896.9825746926
0.01408,1897.1632723798423
0.02183,808.1773213562868
0.015519999999999999,1562.9447928043658
0.014,1918.9679839066723
0.00917,4632.6601158274825
0.00344,55747.40125077175
0.0037,44709.95720426688
0.03376,359.7071800420368
0.02897,476.2339344522215
0.0049299999999999995,20119.452780840675
0.0125,2413.9153323548344
0.00369,45071.23782877982
0.01166,2785.116500464443
0.004019999999999999,35115.9443123287
0.00525,17101.681560259472
0.00441,27109.067437144877
0.00357,49772.38637256402
0.00764,6946.700214929981
0.009640000000000001,4158.573084741109
0.0176,1221.6076906045498
0.00309,78416.42272391698
0.01647,1390.4902278824757
0.00381,41008.08730009905
0.018170000000000002,1148.3929207503963
0.00228,235422.7141397121
0.0029700000000000004,89425.9726658841
0.01543,1581.0179649102881
0.0025299999999999997,157554.04333656252
0.01084,3241.983091158895
0.0024,192423.72796782592
0.00828,5797.912850003936
0.011210000000000001,3022.289481923776
0.0148,1717.3113014811042
0.00317,72158.49890645668
0.01706,1298.015630191129
0.0129,2263.8004890306784
0.012140000000000001,2562.8646609524635
0.00377,42298.86362644297
0.00968,4121.762540313467
0.00304,82745.37650351162
0.00289,98084.14205929638
0.00261,140488.73246165103
0.00464,23621.775645632886
0.00912,4688.0323536549195
0.00753,7179.697778249016
0.01359,2037.175139184613
0.00298,88423.75902453666
0.00421,30822.27806704502
0.0032300000000000002,67940.20860695817
0.0038900000000000002,38598.67051951791
0.00296,90445.07072252575
0.00688,8842.626680488842
0.00509,18516.639992383803
0.01563,1541.2943203748362
0.02188,804.6816064456942
0.016309999999999998,1417.36840938104
0.01081,3260.887807374661
0.00254,155261.01653870114
0.004059999999999999,34139.660016595015
0.020210000000000002,935.9009573148084
0.00958,4214.761750411361
0.0034300000000000003,56250.96474452949
0.01524,1620.2726219052608
0.01473,1733.5929674294723
0.0030600000000000002,80972.2642400862
0.02459,645.8356799580032
0.00281,108037.30504681132
0.00236,205402.18471127597
0.00631,10851.740316549234
0.00976,4049.654657390333
0.0034500000000000004,55250.558578727825
0.01493,1687.7065194641102
0.012410000000000001,2449.8520023231144
0.011880000000000002,2679.6375364844207
0.0026200000000000004,138546.98653756804
0.00371,44353.02036375107
0.0025,164735.73733978183
0.00926,4535.533238937611
0.01932,1020.2449794071243
0.01088,3217.043081787946
0.01375,1989.7152456261767
0.00365,46561.21966995451
0.01495,1683.2234034611724
0.00541,15846.260416005
0.00237,202042.04035444095
0.017,1306.9697267007325
0.02423,663.9317713529189
0.01656,1375.723138365912
0.004860000000000001,20888.383471617482
0.01063,3378.037294231643
0.00382,40694.67785807844
0.0109,3204.6857389725933
0.00282,106713.9149179923
0.00278,112155.40742197554
0.02476,637.5605816653579
0.00935,4441.553876616767
0.019960000000000002,958.4462274340439
0.00999,3852.9934214232553
0.006019999999999999,12158.521754141986
0.004070000000000001,33902.01368569028
0.00422,30618.718098962836
0.00313,75190.8301044942
0.0158,1508.7529547917457
0.00728,7756.753723662216
0.00861,5317.342944462448
0.00429,29249.304826188218
0.00587,12932.324387062012
0.023370000000000002,710.5653725980134
0.01318,2167.2695417231403
0.00392,37749.99496941216
0.00315,73651.47070513137
0.01693,1317.5400775169314
0.009300000000000001,4493.384343983319
0.00827,5813.521919435912
0.00445,26448.37853665067
0.020149999999999998,941.2347236482545
0.00496,19803.11401723262
0.00428,29439.169130884726
0.01838,1123.1543733496972
0.0152,1628.7327178001965
0.01778,1197.7084392024599
0.01587,1495.6676681201352
0.01502,1667.679468788033
0.00484,21116.354126432587
0.00363,47334.16307124152
0.0047,22824.386967439677
0.00364,46945.298716450365
0.01132,2961.4613434937355
0.01497,1678.759041488629
0.00263,136644.13133273018
0.01456,1774.1629824133986
0.011380000000000001,2929.0885995722606
0.016100000000000003,1453.9103699325258
0.00379,41645.932386472996
0.01207,2593.504934751955
0.0037400000000000003,43307.59222901578
0.01681,1335.9776067837136
0.00352,51951.31557478044
0.01329,2131.1089000493994
0.01607,1459.2519329975655
0.004730000000000001,22441.019804365038
0.01625,1427.6597270352327
0.00414,32306.54037250156
0.0055,15201.314752612036
0.01526,1616.0685361814878
0.01343,2086.4426038911784
0.00927,4524.938218330595
0.00613,11635.561127543235
0.01575,1518.2105584501114
0.010039999999999999,3812.219548165133
0.010199999999999999,3686.1857567984666
0.009960000000000002,3877.786653397362
0.008660000000000001,5249.972018065166
0.0146,1764.4834059777002
0.00657,9855.892295968915
0.00642,10412.22053406341
0.01333,2118.1946070980794
0.011640000000000001,2795.0280019418433
0.0035099999999999997,52404.258075896374
0.016530000000000003,1380.617876402104
0.01874,1081.8803497910699
0.00333,61684.1038120233
0.0035600000000000002,50197.05414264122
0.01065,3364.6972522115257
0.01069,3338.2638053925084
0.00462,23897.05038811108
0.00477,21944.982187703867
0.00447,26127.192776485663
0.03214,393.511618650014
0.0165,1385.5401689283983
0.00284,104137.68840140027
0.0211,862.0824299488181
0.013880000000000002,1952.4233982354256
0.018760000000000002,1079.6579245458738
0.012920000000000001,2256.682918562917
0.018260000000000002,1137.467717360949
0.0169,1322.111616400172
0.00336,59974.558855923715
0.01209,2584.692051981051
0.00387,39180.5784587515
0.015550000000000001,1556.992754621074
0.012539999999999999,2398.2089303238818
0.00435,28148.259503010166
0.02117,856.6700365825399
0.02007,948.4215862691092
0.0174,1249.0579720064748
0.016399999999999998,1402.149551092843
0.00501,19292.55845837398
0.0030800000000000003,79254.90715697031
0.01139,2923.7471836786376
0.00257,148665.78287965732
0.00342,56761.37082837118
0.009210000000000001,4589.09497565537
0.00294,92535.42095130372
0.01106,3108.4526721354237
0.00367,45807.11154185114
0.00457,24607.054874544745
0.0092,4599.926017485816
0.03639,313.84121757694106
0.03571,324.77021737612984
0.03436,348.34480224628146
0.01772,1205.5921469932575
0.00662,9680.637975578114
0.0064,10490.06029989488
0.01218,2545.610638877979
0.012050000000000002,2602.365145171286
0.01239,2457.9522245342628
0.012240000000000001,2520.0699240469194
0.01208,2589.092598981516
0.0172,1277.4956311325586
0.0048200000000000005,21348.154405269426
0.00438,27621.22534462133
0.012119999999999999,2571.560718044038
0.011710000000000002,2760.577928753325
0.00929,4503.863959476515
0.01199,2629.2332173484733
0.00675,9246.929230468202
0.00318,71428.83849861889
0.00405,34379.840003276404
0.01091,3198.534986483611
0.0036000000000000003,48530.26803084657
0.00311,76778.48085828808
0.00443,26775.619159396123
0.00466,23351.314106478254
0.01145,2892.0175132445406
0.0096,4195.900837858572
0.0032400000000000003,67272.99380397695
0.01507,1656.7147784828578
0.01657,1374.097645878591
0.01193,2656.539887501776
0.0038,41325.15285565632
0.01284,2285.366502827729
0.01592,1486.430335355347
0.024390000000000002,655.7910996379563
0.01803,1165.7204976723513
0.01418,1870.451696971533
0.02208,790.9353810693353
0.01586,1497.5260049384676
0.019280000000000002,1024.3154447488575
0.01094,3180.193459478108
0.00408,33666.865713619794
0.00951,4281.8309661115145
0.01332,2121.4116087502257
0.00354,51062.87820781058
0.00404,34622.58956642319
0.01102,3132.081602224468
0.00553,14995.282115967035
0.00526,17018.807641906784
0.01306,2207.8311308266534
0.01759,1222.9574782967477
0.02134,843.7473694410255
0.015090000000000001,1652.3607063497775
0.00597,12408.32479788331
0.0058200000000000005,13207.238196865846
0.00655,9927.37379052377
0.00614,11589.749607698319
0.01544,1578.9935938857313
0.014320000000000001,1834.0392021439552
0.012220000000000002,2528.538540366616
0.01235,2474.2795613416324
0.013810000000000001,1972.3654466840705
0.01411,1889.0870052503892
0.01936,1016.2000393978186
0.0030499999999999998,81851.70462241693
0.01716,1283.3059131295336
0.00796,6331.917829983871
0.02122,852.836900045708
0.014750000000000001,1728.9163089072313
0.00391,38029.72571806679
0.00785,6533.346475820423
0.0040999999999999995,33203.92644505059
0.007200000000000001,7956.737188900307
0.01299,2232.046703959889
0.010480000000000001,3480.787060091747
0.00876,5119.165772863499
0.013970000000000002,1927.2466974728766
0.01878,1077.4427096062795
0.01382,1969.4969869942809
0.01129,2977.8588941774797
0.013640000000000001,2022.1540475148074
0.005070000000000001,18706.072915917506
0.01959,993.4262019301225
0.013900000000000001,1946.7839728763227
0.0127,2336.9628864428237
0.02094,874.658845844113
0.016579999999999998,1372.4751839549583
0.01426,1849.5065617388677
0.012060000000000001,2597.9291023284545
0.01077,3286.364401351975
0.01829,1133.862458251287
0.00393,37473.36365795753
0.019289999999999998,1023.2954233785908
0.01898,1055.6801939170007
0.01611,1452.1367048694476
0.01833,1129.0834721736921
0.00453,25198.505358317776
0.010140000000000001,3732.6727427617807
0.01173,2750.8574923157735
0.00771,6804.497476122594
0.02422,664.4458754543549
0.00375,42967.356822076035
0.00419,31235.61340090085
0.02048,912.4806521455591
0.0181,1157.0054401373784
0.010310000000000001,3603.282561026549
0.01737,1253.2595104416764
0.019620000000000002,990.5152836924921
0.01157,2830.1583087330073
0.011890000000000001,2674.9928199567426
0.02431,659.841537010835
0.00756,7114.960457998424
0.01887,1067.5626173969438
0.011800000000000001,2717.255977166926
0.01915,1037.7234210477957
0.02231,775.5816049011132
0.01629,1420.785800132613
0.011970000000000001,2638.2862301865775
0.01165,2790.06533729179
0.00385,39775.84171627582
0.0052699999999999995,16936.549093032987
0.0149,1694.466583526114
0.01652,1382.2555686572875
0.01399,1921.7213194191556
0.011519999999999999,2855.677976714229
0.0077,6824.533276812618
0.01988,965.8426069033163
0.0068200000000000005,9025.748123989239
0.019710000000000002,981.8630111724224
0.014410000000000001,1811.2174459281605
0.014150000000000001,1878.4026293257841
0.01747,1239.3404810556424
0.00415,32087.941564756256
0.0151,1650.1904341946292
0.00845,5542.25275182605
0.014490000000000001,1791.3048969469173
0.00899,4836.942596960717
0.006730000000000001,9311.669852291314
0.008310000000000001,5751.4758169300285
0.01804,1164.469148546278
0.01348,2070.846733063831
0.01082,3254.5670604345014
0.01168,2775.260104953692
0.00322,68617.33050226896
0.022949999999999998,735.255267595244
0.0030299999999999997,83653.58207572335
0.00394,37199.78648386531
0.01744,1243.4904429130677
0.00523,17269.30028081134
